Domain,Unique Identifier,Name,Description,Last Change Date
Container Color(SampleContainerColorName),1,Amber,Amber (yellowish brown),7/26/2006 10:57:47 AM
Container Color(SampleContainerColorName),4,Black,Opaque black,7/26/2006 10:57:47 AM
Container Color(SampleContainerColorName),2,Clear,"Transparent, without color",7/26/2006 10:57:47 AM
Container Color(SampleContainerColorName),3,Green,Transparent green,7/26/2006 10:57:47 AM
Container Color(SampleContainerColorName),6,Opaque,Opaque (unspecified color),7/26/2006 10:57:47 AM
Container Color(SampleContainerColorName),5,Translucent,"Frosted, without color",7/26/2006 10:57:47 AM
Container Color(SampleContainerColorName),7,Unspecified,Unspecified,7/26/2006 10:57:47 AM

