Domain,Unique Identifier,Code,Name,State Code,EPA Region Code,EPA Name,EPA Identifier,Last Change Date
Tribe(TribalCode),72,	207,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",MT,8,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",100000175,7/26/2006 10:57:50 AM
Tribe(TribalCode),625,	241,Kasigluk Traditional Elders Council,,,,,1/22/2020 9:49:03 AM
Tribe(TribalCode),638,	280,Arapahoe & Shoshone Tribes-Wind River Res,,,,,1/22/2020 9:49:04 AM
Tribe(TribalCode),73,	281,"Arapahoe Tribe of the Wind River Reservation, Wyoming",WY,8,"Northern Arapaho Tribe of the Wind River Reservation, Wyoming",100000008,7/26/2006 10:57:50 AM
Tribe(TribalCode),74,	282,"Shoshone Tribe of the Wind River Reservation, Wyoming",WY,8,"Eastern Shoshone Tribe of the Wind River Reservation, Wyoming",100000275,7/26/2006 10:57:50 AM
Tribe(TribalCode),75,	301,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",ND,8,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",100000301,7/26/2006 10:57:50 AM
Tribe(TribalCode),76,	302,Standing Rock Sioux Tribe of North & South Dakota,ND; SD,8,Standing Rock Sioux Tribe of North & South Dakota,100000289,7/26/2006 10:57:50 AM
Tribe(TribalCode),77,	303,"Spirit Lake Tribe, North Dakota",ND,8,"Spirit Lake Tribe, North Dakota",100000286,7/26/2006 10:57:50 AM
Tribe(TribalCode),78,	304,Turtle Mountain Band of Chippewa Indians of North Dakota,MT; ND; SD,8,Turtle Mountain Band of Chippewa Indians of North Dakota,100000311,7/26/2006 10:57:50 AM
Tribe(TribalCode),79,	336,Tunica-Biloxi Indian Tribe of Louisiana,LA,6,Tunica-Biloxi Indian Tribe,100000309,7/26/2006 10:57:50 AM
Tribe(TribalCode),80,	340,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",SD,8,"Cheyenne River Sioux Tribe of the Cheyenne River Reservation, South Dakota",100000040,7/26/2006 10:57:50 AM
Tribe(TribalCode),81,	341,Flandreau Santee Sioux Tribe of South Dakota,SD,8,Flandreau Santee Sioux Tribe of South Dakota,100000084,7/26/2006 10:57:50 AM
Tribe(TribalCode),82,	342,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",SD,8,"Crow Creek Sioux Tribe of the Crow Creek Reservation, South Dakota",100000070,7/26/2006 10:57:50 AM
Tribe(TribalCode),83,	343,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota ",SD,8,"Lower Brule Sioux Tribe of the Lower Brule Reservation, South Dakota",100000143,7/26/2006 10:57:50 AM
Tribe(TribalCode),84,	344,"Oglala Sioux Tribe of the Pine Ridge Reservation, South Dakota",NE; SD,8,Oglala Sioux Tribe,100000179,7/26/2006 10:57:50 AM
