Domain,Unique Identifier,Name,Description,Last Change Date
Result Sampling Point Type(ResultSamplingPointType),4,Belt Transect,,4/10/2020 1:09:42 PM
Result Sampling Point Type(ResultSamplingPointType),1,Line Transect,,4/10/2020 1:09:35 PM
Result Sampling Point Type(ResultSamplingPointType),2,Point Transect,,4/10/2020 1:09:35 PM
Result Sampling Point Type(ResultSamplingPointType),3,Strip Transect,,4/10/2020 1:09:35 PM

