Domain,Unique Identifier,Name,Description,Last Change Date
Gear Procedure Unit(GearProcedureUnitCode),4,# of hauls,"number (quantity) of hauls, the result of an effort to obtain, collect something",3/17/2020 12:00:00 AM
Gear Procedure Unit(GearProcedureUnitCode),5,# of hooks,"number (quantity) of hooks, a piece of metal or other material, curved or bent back at an angle, for catching hold of or hanging things on.",3/17/2020 12:00:00 AM
Gear Procedure Unit(GearProcedureUnitCode),21,# of net sweeps,"number (quantity) of sweeps, sturdy nets often with a canvas bag, that are used to collect insects and other invertebrates from long grass.",6/18/2020 2:28:30 PM
Gear Procedure Unit(GearProcedureUnitCode),1,# of nets,"number (quantity) of nets,a length of open-meshed material made of twine, cord, rope, or something similar, used typically for catching fish or other animals.",3/17/2020 12:00:00 AM
Gear Procedure Unit(GearProcedureUnitCode),3,# of passes,"number (quantity) of passes, a single complete cycle of operations.",3/17/2020 12:00:00 AM
Gear Procedure Unit(GearProcedureUnitCode),2,# of traps,"number (quantity) of traps, a contrivance used for catching game or other animals, as a mechanical device that springs shut suddenly.",3/17/2020 12:00:00 AM

