VALUE,DESCRIPTION
NGVD88 M,NATIONAL GEODETIC VERTICAL DATUM 1988 METERS
NTU,NEPHELOMETRIC TURBIDITY UNIT (TURBIDITY)
NA,NOT APPLICABLE - NO UNITS
ORG,ORGANISMS
OVA/4GM,OVA PER 4 GRAMS
PPB,PARTS PER BILLION
PPBV,PARTS PER BILLION BY VOLUME (AIR)
PPB QSE,PARTS PER BILLION QUININE SULFATE EQUIVALENT
PPM,PARTS PER MILLION
PPMV,PARTS PER MILLION BY VOLUME (AIR)
PPTH,PARTS PER THOUSAND
PER MONTH,PER MONTH
PER WEEK,PER WEEK
%,PERCENT
% V/V,PERCENT BY VOLUME
% COVER,PERCENT COVER
% LEL,PERCENT LOWER EXPLOSIVE LEVEL
% PASSING,PERCENT PASSING SIEVE
% R,PERCENT RECOVERY
% T,PERCENT TRANSMITTANCE
PCI,PICOCURIES (RADIOLOGICAL)
PCI/G,PICOCURIES PER GRAM
PCI/L,PICOCURIES PER LITER
PCI/MOL,PICOCURIES PER MOLE
PG/G,PICOGRAMS PER GRAM
PG/L,PICOGRAMS PER LITER
PG/UL,PICOGRAMS PER MICROLITER
PG/ML,PICOGRAMS PER MILLILITER
PMOL/MIN/MG,PICOMOLE PER MINUTE PER MILLIGRAM
PICMOL,PICOMOLES
PFU/4GM,PLAQUE FORMING UNITS PER 4 GRAMS (ENTERIC VIRUSES)
PFU/ML,PLAQUE FORMING UNITS PER MILLILITER (ENTERIC VIRUSES)
PTCO,PLATINUM COBALT UNITS (COLOR)
LBS,POUNDS
LBS/F3,POUNDS PER CUBIC FEET
LBS/DAY,POUNDS PER DAY
PSF,POUNDS PER SQUARE FOOT
PSI,POUNDS PER SQUARE INCH
PSS,PRACTICAL SALINITY SCALE
RATIO CY/CIS,RATIO CY/CIS (PLFA)
RATIO TRANS/CIS,RATIO TRANS/CIS (PLFA)
RPD,RELATIVE PERCENT DIFERENCE
SC,SCORE
SHU,SHEFFIELD UNITS
SQ CM,SQUARE CENTIMETERS
SQ FT/MIN,SQUARE FEET PER MINUTE
SQ FT/SEC,SQUARE FEET PER SECOND
SQ M/MIN,SQUARE METER PER MINUTE
SQ M/SEC,SQUARE METER PER SECOND
SCF,STANDARD CUBIC FEET
SCFM,STANDARD CUBIC FEET PER MINUTE (GAS)
STU,STANDARD PH UNIT
SPU,STANDARD PLATINUM UNITS
M GAL,THOUSAND GALLONS
TONS,TONS
TREATMENTS,TREATMENTS
TU,TRITIUM UNITS
YEARS,YEARS
