Parameter,Abbreviation,Abbreviation-aik-pfas-ont,QuantityKind
PERFLUOROPENTANE SULFONATE,PFPES,PFPES,
PERFLUORODODECANE SULFONATE,PFDOS,PFDOS,
3:3 FLUOROTELOMER CARBOXYLIC ACID,3:3 FTC_A,3-3_FTC_A,
PERFLUORONONANE SULFONATE,PFNS,PFNS,
11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONATE,11CL-PF3OUDS,11CL-PF3OUDS,
5:3 FLUOROTELOMER CARBOXYLIC ACID,5:3 FTC_A,5-3_FTC_A,
PERFLUOROHEPTANE SULFONATE,PFHPS,PFHPS,
7:3 FLUOROTELOMER CARBOXYLIC ACID,7:3 FTC_A,7-3_FTC_A,
PERFLUOROPROPANE SULFONIC ACID,PFRPS_A,PFRPS_A,
ACETOHYDROXAMIC ACID,PFECHS_A,PFECHS_A,
TOTAL PERFLUOROCARBOXYLIC ACIDS,TOTAL PFCA,TOTAL_PFCA,Cumulative
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-MeFOSAA_A,N-MeFOSAA_A,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-EtFOSAA_A,N-EtFOSAA_A,
TOTAL PERFLUOROCARBOXYLIC ACIDS,TOTAL PFC_A,TOTAL-PFC_A,Cumulative
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,N-EtFOSAA_A_BR,N-EtFOSAA_A_BR,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,N-EtFOSAA_A_L,N-EtFOSAA_A_L,
N-ETHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,N-EtFOSE,N-EtFOSE,
N-METHYL PERFLUOROOCTANE SULFONAMIDE,N-MEFOSA,N-MEFOSA,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID,N-MeFOSAA_A,N-MeFOSAA_A,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-BRANCHED,N-MeFOSAA_A_BR,N-MeFOSAA_A_BR,
N-METHYL PERFLUOROOCTANE SULFONAMIDOACETIC ACID-LINEAR,N-MeFOSAA_A_L,N-MeFOSAA_A_L,
N-METHYL PERFLUOROOCTANE SULFONAMIDOETHANOL,N-MEFOSE,N-MEFOSE,
PERFLOUROOCTANE SULFONIC ACID,PFOS_A_L + PFOS_A_BR,PFOS_A,
PERFLUOROOCTANOIC ACID-LINEAR,PFOA_A_L + PFOA_A_BR,PFOA_A,
PERFLUOROHEXANE SULFONIC ACID,PFHXS_A_L + PFHXS_A_BR,PFHXS_A,
